"Step","non_det_DDQN_3_100k - win","non_det_DDQN_3_100k - win__MIN","non_det_DDQN_3_100k - win__MAX"
"8159","0","0","0"
"8166","0","0","0"
"8169","0","0","0"
"8174","0","0","0"
"8182","0","0","0"
"8183","0","0","0"
"8186","0","0","0"
"8189","0","0","0"
"8190","0","0","0"
"8197","0","0","0"
"8198","0","0","0"
"8216","0","0","0"
"8234","0","0","0"
"8249","0","0","0"
"8266","0","0","0"
"8270","0","0","0"
"8279","0","0","0"
"8286","0","0","0"
"8291","0","0","0"
"8306","0","0","0"
"8307","0","0","0"
"8316","0","0","0"
"8332","0","0","0"
"8342","0","0","0"
"8363","0","0","0"
"8368","0","0","0"
"8378","0","0","0"
"8380","0","0","0"
"8383","0","0","0"
"8394","0","0","0"
"8415","0","0","0"
"8418","0","0","0"
"8420","0","0","0"
"8424","0","0","0"
"8426","0","0","0"
"8429","0","0","0"
"8463","0","0","0"
"8468","0","0","0"
"8474","0","0","0"
"8475","0","0","0"
"8481","0","0","0"
"8482","0","0","0"
"8488","0","0","0"
"8504","0","0","0"
"8513","0","0","0"
"8548","0","0","0"
"8559","0","0","0"
"8561","0","0","0"
"8563","0","0","0"
"8565","0","0","0"
"8591","0","0","0"
"8600","0","0","0"
"8609","0","0","0"
"8619","0","0","0"
"8622","0","0","0"
"8625","0","0","0"
"8626","0","0","0"
"8629","0","0","0"
"8632","0","0","0"
"8634","0","0","0"
"8648","0","0","0"
"8658","0","0","0"
"8685","0","0","0"
"8702","0","0","0"
"8706","0","0","0"
"8723","0","0","0"
"8733","0","0","0"
"8742","0","0","0"
"8757","0","0","0"
"8769","0","0","0"
"8806","0","0","0"
"8807","0","0","0"
"8823","0","0","0"
"8831","0","0","0"
"8832","0","0","0"
"8847","0","0","0"
"8848","0","0","0"
"8849","0","0","0"
"8856","0","0","0"
"8867","0","0","0"
"8902","0","0","0"
"8906","0","0","0"
"8910","0","0","0"
"8918","0","0","0"
"8926","0","0","0"
"8941","0","0","0"
"8947","0","0","0"
"8956","0","0","0"
"8970","0","0","0"
"8996","0","0","0"
"9008","0","0","0"
"9012","0","0","0"
"9028","0","0","0"
"9035","0","0","0"
"9050","0","0","0"
"9082","0","0","0"
"9086","0","0","0"
"9088","0","0","0"
"9094","0","0","0"
"9103","0","0","0"
"9117","0","0","0"
"9125","0","0","0"
"9138","0","0","0"
"9148","0","0","0"
"9158","0","0","0"
"9161","0","0","0"
"9172","0","0","0"
"9174","0","0","0"
"9176","0","0","0"
"9178","0","0","0"
"9188","0","0","0"
"9224","0","0","0"
"9235","0","0","0"
"9250","0","0","0"
"9265","0","0","0"
"9283","0","0","0"
"9291","0","0","0"
"9295","0","0","0"
"9303","0","0","0"
"9312","0","0","0"
"9314","0","0","0"
"9320","0","0","0"
"9335","0","0","0"
"9346","0","0","0"
"9350","0","0","0"
"9356","0","0","0"
"9365","0","0","0"
"9367","0","0","0"
"9372","0","0","0"
"9376","0","0","0"
"9378","0","0","0"
"9387","0","0","0"
"9412","0","0","0"
"9426","0","0","0"
"9450","0","0","0"
"9452","0","0","0"
"9459","0","0","0"
"9461","0","0","0"
"9490","0","0","0"
"9499","0","0","0"
"9501","0","0","0"
"9524","0","0","0"
"9534","0","0","0"
"9548","0","0","0"
"9567","0","0","0"
"9597","0","0","0"
"9599","0","0","0"
"9633","0","0","0"
"9649","0","0","0"
"9653","0","0","0"
"9661","0","0","0"
"9662","0","0","0"
"9663","0","0","0"
"9666","0","0","0"
"9669","0","0","0"
"9670","0","0","0"
"9671","0","0","0"
"9679","0","0","0"
"9686","0","0","0"
"9688","0","0","0"
"9706","0","0","0"
"9718","0","0","0"
"9726","0","0","0"
"9738","0","0","0"
"9740","0","0","0"
"9742","0","0","0"
"9768","0","0","0"
"9774","0","0","0"
"9782","0","0","0"
"9812","0","0","0"
"9815","0","0","0"
"9828","0","0","0"
"9829","0","0","0"
"9830","0","0","0"
"9847","0","0","0"
"9858","0","0","0"
"9866","0","0","0"
"9872","0","0","0"
"9877","0","0","0"
"9892","0","0","0"
"9898","0","0","0"
"9923","0","0","0"
"9939","0","0","0"
"9940","0","0","0"
"9945","0","0","0"
"9946","0","0","0"
"9969","0","0","0"
"9991","0","0","0"
"10002","0","0","0"
"10027","0","0","0"
"10030","0","0","0"
"10037","0","0","0"
"10059","0","0","0"
"10060","0","0","0"
"10063","0","0","0"
"10077","0","0","0"
"10078","0","0","0"
"10084","0","0","0"
"10085","0","0","0"
"10096","0","0","0"
"10108","0","0","0"
"10130","0","0","0"
"10163","0","0","0"
"10171","0","0","0"
"10226","0","0","0"
"10235","0","0","0"
"10237","0","0","0"
"10245","0","0","0"
"10251","0","0","0"
"10259","0","0","0"
"10270","0","0","0"
"10309","0","0","0"
"10313","0","0","0"
"10322","0","0","0"
"10341","0","0","0"
"10349","0","0","0"
"10350","0","0","0"
"10360","0","0","0"
"10384","0","0","0"
"10405","0","0","0"
"10407","0","0","0"
"10413","0","0","0"
"10415","0","0","0"
"10416","0","0","0"
"10420","0","0","0"
"10422","0","0","0"
"10436","0","0","0"
"10437","0","0","0"
"10452","0","0","0"
"10465","0","0","0"
"10495","0","0","0"
"10498","0","0","0"
"10502","0","0","0"
"10509","0","0","0"
"10517","0","0","0"
"10528","0","0","0"
"10533","0","0","0"
"10558","0","0","0"
"10590","0","0","0"
"10622","0","0","0"
"10653","0","0","0"
"10656","0","0","0"
"10658","0","0","0"
"10663","0","0","0"
"10677","0","0","0"
"10688","0","0","0"
"10695","0","0","0"
"10701","0","0","0"
"10711","1","1","1"
"10725","0","0","0"
"10741","0","0","0"
"10742","0","0","0"
"10746","0","0","0"
"10754","0","0","0"
"10782","0","0","0"
"10784","0","0","0"
"10817","0","0","0"
"10822","0","0","0"
"10825","0","0","0"
"10835","0","0","0"
"10836","0","0","0"
"10854","0","0","0"
"10864","0","0","0"
"10882","0","0","0"
"10887","0","0","0"
"10890","0","0","0"
"10908","0","0","0"
"10911","0","0","0"
"10931","0","0","0"
"10950","0","0","0"
"10966","0","0","0"
"10974","0","0","0"
"10983","0","0","0"
"10991","0","0","0"
"10992","0","0","0"
"10996","0","0","0"
"10999","0","0","0"
"11005","0","0","0"
"11006","0","0","0"
"11014","0","0","0"
"11018","0","0","0"
"11022","0","0","0"
"11024","0","0","0"
"11026","0","0","0"
"11041","0","0","0"
"11081","0","0","0"
"11089","0","0","0"
"11091","0","0","0"
"11092","0","0","0"
"11097","0","0","0"
"11100","0","0","0"
"11106","0","0","0"
"11114","0","0","0"
"11132","0","0","0"
"11133","0","0","0"
"11137","0","0","0"
"11145","0","0","0"
"11149","0","0","0"
"11150","0","0","0"
"11163","0","0","0"
"11173","0","0","0"
"11174","0","0","0"
"11181","0","0","0"
"11190","0","0","0"
"11191","0","0","0"
"11196","0","0","0"
"11227","0","0","0"
"11230","0","0","0"
"11243","0","0","0"
"11264","0","0","0"
"11266","0","0","0"
"11271","0","0","0"
"11288","0","0","0"
"11289","0","0","0"
"11308","0","0","0"
"11317","0","0","0"
"11329","0","0","0"
"11332","0","0","0"
"11339","0","0","0"
"11344","0","0","0"
"11346","0","0","0"
"11355","0","0","0"
"11368","0","0","0"
"11383","0","0","0"
"11387","0","0","0"
"11391","0","0","0"
"11396","0","0","0"
"11398","0","0","0"
"11405","0","0","0"
"11412","0","0","0"
"11413","0","0","0"
"11427","0","0","0"
"11440","0","0","0"
"11451","0","0","0"
"11452","0","0","0"
"11456","0","0","0"
"11460","0","0","0"
"11473","0","0","0"
"11480","0","0","0"
"11499","0","0","0"
"11502","0","0","0"
"11503","0","0","0"
"11506","0","0","0"
"11527","0","0","0"
"11531","0","0","0"
"11556","0","0","0"
"11557","0","0","0"
"11560","0","0","0"
"11561","0","0","0"
"11583","0","0","0"
"11589","0","0","0"
"11590","0","0","0"
"11603","0","0","0"
"11621","0","0","0"
"11622","0","0","0"
"11657","0","0","0"
"11659","0","0","0"
"11660","0","0","0"
"11675","0","0","0"
"11694","0","0","0"
"11695","0","0","0"
"11708","0","0","0"
"11713","0","0","0"
"11716","0","0","0"
"11749","0","0","0"
"11768","0","0","0"
"11781","0","0","0"
"11788","0","0","0"
"11804","0","0","0"
"11809","0","0","0"
"11815","0","0","0"
"11828","0","0","0"
"11832","0","0","0"
"11864","0","0","0"
"11872","0","0","0"
"11882","0","0","0"
"11899","0","0","0"
"11913","0","0","0"
"11920","0","0","0"
"11929","0","0","0"
"11943","0","0","0"
"11944","0","0","0"
"11953","0","0","0"
"11954","0","0","0"
"11960","0","0","0"
"11970","0","0","0"
"11998","0","0","0"
"11999","0","0","0"
"12014","0","0","0"
"12021","0","0","0"
"12026","0","0","0"
"12041","0","0","0"
"12050","0","0","0"
"12069","0","0","0"
"12070","0","0","0"
"12072","0","0","0"
"12076","0","0","0"
"12086","0","0","0"
"12093","0","0","0"
"12110","0","0","0"
"12121","0","0","0"
"12123","0","0","0"
"12124","0","0","0"
"12126","0","0","0"
"12131","0","0","0"
"12135","0","0","0"
"12138","0","0","0"
"12139","0","0","0"
"12154","0","0","0"
"12158","0","0","0"
"12181","0","0","0"
"12217","0","0","0"
"12222","0","0","0"
"12231","0","0","0"
"12237","0","0","0"
"12245","0","0","0"
"12268","0","0","0"
"12281","0","0","0"
"12282","0","0","0"
"12286","0","0","0"
"12291","0","0","0"
"12299","0","0","0"
"12309","0","0","0"
"12312","0","0","0"
"12332","0","0","0"
"12337","0","0","0"
"12344","0","0","0"
"12362","0","0","0"
"12364","0","0","0"
"12397","0","0","0"
"12405","0","0","0"
"12410","0","0","0"
"12418","0","0","0"
"12433","0","0","0"
"12448","0","0","0"
"12479","0","0","0"
"12490","0","0","0"
"12500","0","0","0"
"12520","0","0","0"
"12521","0","0","0"
"12525","0","0","0"
"12540","0","0","0"
"12566","0","0","0"
"12571","0","0","0"
"12582","0","0","0"
"12584","0","0","0"
