"Step","DDQN_good_disc - win","non_det_DDQN_run_1747653794 - win__MIN","non_det_DDQN_run_1747653794 - win__MAX"
"4214","0","0","0"
"4217","0","0","0"
"4228","0","0","0"
"4232","0","0","0"
"4238","0","0","0"
"4242","0","0","0"
"4246","0","0","0"
"4249","0","0","0"
"4258","0","0","0"
"4259","0","0","0"
"4263","0","0","0"
"4265","0","0","0"
"4271","0","0","0"
"4278","0","0","0"
"4289","0","0","0"
"4301","0","0","0"
"4307","0","0","0"
"4312","0","0","0"
"4315","0","0","0"
"4316","0","0","0"
"4323","0","0","0"
"4327","0","0","0"
"4339","0","0","0"
"4351","0","0","0"
"4353","0","0","0"
"4359","0","0","0"
"4363","0","0","0"
"4369","0","0","0"
"4372","0","0","0"
"4382","0","0","0"
"4394","0","0","0"
"4395","0","0","0"
"4400","0","0","0"
"4421","0","0","0"
"4422","0","0","0"
"4424","0","0","0"
"4425","0","0","0"
"4432","0","0","0"
"4448","0","0","0"
"4449","0","0","0"
"4452","0","0","0"
"4453","0","0","0"
"4466","0","0","0"
"4467","0","0","0"
"4468","0","0","0"
"4470","0","0","0"
"4471","0","0","0"
"4487","0","0","0"
"4488","0","0","0"
"4494","0","0","0"
"4495","0","0","0"
"4502","0","0","0"
"4504","0","0","0"
"4508","0","0","0"
"4516","0","0","0"
"4532","0","0","0"
"4533","0","0","0"
"4544","0","0","0"
"4549","0","0","0"
"4551","0","0","0"
"4554","0","0","0"
"4567","0","0","0"
"4569","0","0","0"
"4586","0","0","0"
"4588","0","0","0"
"4599","0","0","0"
"4603","0","0","0"
"4612","0","0","0"
"4613","0","0","0"
"4614","0","0","0"
"4615","0","0","0"
"4616","0","0","0"
"4617","0","0","0"
"4636","0","0","0"
"4637","0","0","0"
"4642","0","0","0"
"4646","0","0","0"
"4651","0","0","0"
"4652","0","0","0"
"4653","0","0","0"
"4657","0","0","0"
"4663","0","0","0"
"4665","0","0","0"
"4675","0","0","0"
"4679","0","0","0"
"4680","0","0","0"
"4691","0","0","0"
"4697","0","0","0"
"4703","0","0","0"
"4712","0","0","0"
"4716","0","0","0"
"4722","0","0","0"
"4724","0","0","0"
"4727","0","0","0"
"4730","0","0","0"
"4739","0","0","0"
"4740","0","0","0"
"4749","0","0","0"
"4754","0","0","0"
"4756","0","0","0"
"4757","0","0","0"
"4758","0","0","0"
"4763","0","0","0"
"4766","0","0","0"
"4769","0","0","0"
"4773","0","0","0"
"4780","0","0","0"
"4782","0","0","0"
"4785","0","0","0"
"4786","0","0","0"
"4798","0","0","0"
"4810","0","0","0"
"4827","0","0","0"
"4833","0","0","0"
"4837","0","0","0"
"4839","0","0","0"
"4841","0","0","0"
"4842","0","0","0"
"4843","0","0","0"
"4847","0","0","0"
"4856","0","0","0"
"4874","0","0","0"
"4876","0","0","0"
"4897","0","0","0"
"4903","0","0","0"
"4906","0","0","0"
"4911","0","0","0"
"4918","0","0","0"
"4930","0","0","0"
"4935","0","0","0"
"4938","0","0","0"
"4946","0","0","0"
"4947","0","0","0"
"4956","0","0","0"
