"Step","DQN_good_disc - total_reward","non_Det_DQN_discounted_run_1747653690 - total_reward__MIN","non_Det_DQN_discounted_run_1747653690 - total_reward__MAX"
"4744","0","0","0"
"4748","1","1","1"
"4757","-2","-2","-2"
"4761","-2","-2","-2"
"4765","-2","-2","-2"
"4771","-2","-2","-2"
"4772","0","0","0"
"4778","-2","-2","-2"
"4779","0","0","0"
"4799","0","0","0"
"4802","2","2","2"
"4806","1","1","1"
"4807","-2","-2","-2"
"4819","0","0","0"
"4824","-2","-2","-2"
"4830","-2","-2","-2"
"4832","4","4","4"
"4833","-2","-2","-2"
"4845","10","10","10"
"4851","-2","-2","-2"
"4860","1","1","1"
"4867","1","1","1"
"4869","-2","-2","-2"
"4881","-2","-2","-2"
"4887","-2","-2","-2"
"4892","-2","-2","-2"
"4898","-2","-2","-2"
"4900","-2","-2","-2"
"4901","4","4","4"
"4906","-1","-1","-1"
"4911","-1","-1","-1"
"4917","-1","-1","-1"
"4920","-2","-2","-2"
"4925","0","0","0"
"4927","-1","-1","-1"
"4928","-2","-2","-2"
"4930","5","5","5"
"4941","-2","-2","-2"
"4942","3","3","3"
"4949","-2","-2","-2"
"4954","2","2","2"
"4962","-2","-2","-2"
"4965","0","0","0"
"4967","-2","-2","-2"
"4968","-2","-2","-2"
"4971","-1","-1","-1"
"4978","-1","-1","-1"
"4991","10","10","10"
"4992","-1","-1","-1"
"4995","0","0","0"
"5006","-1","-1","-1"
"5008","0","0","0"
"5009","-2","-2","-2"
"5018","-2","-2","-2"
"5021","1","1","1"
"5023","-1","-1","-1"
"5027","-1","-1","-1"
"5034","-2","-2","-2"
"5045","-2","-2","-2"
"5050","0","0","0"
"5058","-2","-2","-2"
"5060","-2","-2","-2"
"5063","-2","-2","-2"
"5064","-2","-2","-2"
"5069","-2","-2","-2"
"5075","-1","-1","-1"
"5083","-2","-2","-2"
"5085","0","0","0"
"5096","-2","-2","-2"
"5102","2","2","2"
"5109","-2","-2","-2"
"5112","-2","-2","-2"
"5123","0","0","0"
"5125","-1","-1","-1"
"5140","-2","-2","-2"
"5167","-2","-2","-2"
"5171","-2","-2","-2"
"5173","1","1","1"
"5175","-1","-1","-1"
"5181","-2","-2","-2"
"5184","-2","-2","-2"
"5190","-2","-2","-2"
"5197","-2","-2","-2"
"5199","1","1","1"
"5202","-1","-1","-1"
"5205","-1","-1","-1"
"5207","-2","-2","-2"
"5214","-2","-2","-2"
"5227","-1","-1","-1"
"5246","2","2","2"
"5251","0","0","0"
"5268","0","0","0"
"5277","0","0","0"
"5280","-1","-1","-1"
