"Step","DQN_good_disc - win","non_Det_DQN_discounted_run_1747653690 - win__MIN","non_Det_DQN_discounted_run_1747653690 - win__MAX"
"5491","0","0","0"
"5497","0","0","0"
"5501","0","0","0"
"5507","0","0","0"
"5508","0","0","0"
"5515","0","0","0"
"5526","0","0","0"
"5533","0","0","0"
"5536","0","0","0"
"5541","0","0","0"
"5543","0","0","0"
"5545","0","0","0"
"5546","0","0","0"
"5553","0","0","0"
"5564","0","0","0"
"5567","0","0","0"
"5568","0","0","0"
"5579","0","0","0"
"5586","0","0","0"
"5588","0","0","0"
"5589","0","0","0"
"5590","0","0","0"
"5598","0","0","0"
"5603","0","0","0"
"5605","0","0","0"
"5607","0","0","0"
"5609","0","0","0"
"5610","0","0","0"
"5621","0","0","0"
"5626","0","0","0"
"5630","0","0","0"
"5651","0","0","0"
"5656","0","0","0"
"5658","0","0","0"
"5660","0","0","0"
"5663","0","0","0"
"5665","0","0","0"
"5669","0","0","0"
"5680","0","0","0"
"5696","0","0","0"
"5702","0","0","0"
"5704","0","0","0"
"5716","0","0","0"
"5723","0","0","0"
"5724","0","0","0"
"5725","0","0","0"
"5730","0","0","0"
"5735","0","0","0"
"5742","0","0","0"
"5746","0","0","0"
"5748","0","0","0"
"5757","0","0","0"
"5759","0","0","0"
"5771","0","0","0"
"5776","0","0","0"
"5777","0","0","0"
"5780","0","0","0"
"5781","0","0","0"
"5802","0","0","0"
"5803","0","0","0"
"5805","0","0","0"
"5807","0","0","0"
"5818","0","0","0"
"5823","0","0","0"
"5827","0","0","0"
"5830","0","0","0"
"5832","0","0","0"
"5835","0","0","0"
"5847","0","0","0"
"5850","0","0","0"
"5855","0","0","0"
"5861","0","0","0"
"5877","0","0","0"
"5879","0","0","0"
"5881","0","0","0"
"5892","0","0","0"
"5897","0","0","0"
"5899","0","0","0"
"5903","0","0","0"
"5909","0","0","0"
"5917","0","0","0"
"5923","0","0","0"
"5925","0","0","0"
"5932","0","0","0"
"5936","0","0","0"
"5938","0","0","0"
"5951","0","0","0"
"5952","0","0","0"
"5953","0","0","0"
"5956","0","0","0"
"5957","0","0","0"
"5963","0","0","0"
"5964","0","0","0"
"5965","0","0","0"
"5975","0","0","0"
"5979","0","0","0"
"5982","0","0","0"
"5986","0","0","0"
"5987","0","0","0"
"5989","0","0","0"
"5996","0","0","0"
"5997","0","0","0"
"6010","0","0","0"
"6011","0","0","0"
"6016","0","0","0"
"6018","0","0","0"
"6024","0","0","0"
"6025","0","0","0"
"6030","0","0","0"
"6031","0","0","0"
"6038","0","0","0"
"6045","0","0","0"
"6047","0","0","0"
"6048","0","0","0"
"6049","0","0","0"
"6050","0","0","0"
"6060","1","1","1"
"6061","0","0","0"
"6062","0","0","0"
"6065","0","0","0"
"6066","0","0","0"
"6067","0","0","0"
"6068","0","0","0"
"6094","0","0","0"
"6106","0","0","0"
"6107","0","0","0"
"6118","0","0","0"
"6119","0","0","0"
"6121","0","0","0"
"6129","0","0","0"
"6130","0","0","0"
"6133","0","0","0"
"6135","0","0","0"
"6136","0","0","0"
"6137","0","0","0"
"6140","0","0","0"
"6143","0","0","0"
"6144","0","0","0"
"6151","0","0","0"
"6156","0","0","0"
