"Step","DDQN_run_1747573335 - total_reward","DDQN_run_1747573335 - total_reward__MIN","DDQN_run_1747573335 - total_reward__MAX"
"4409","-1","-1","-1"
"4413","-3","-3","-3"
"4416","2","2","2"
"4422","-2","-2","-2"
"4425","5","5","5"
"4429","-2","-2","-2"
"4430","-3","-3","-3"
"4434","-1","-1","-1"
"4435","1","1","1"
"4441","-3","-3","-3"
"4444","-2","-2","-2"
"4451","-2","-2","-2"
"4452","-1","-1","-1"
"4457","-2","-2","-2"
"4458","-1","-1","-1"
"4464","-3","-3","-3"
"4470","-3","-3","-3"
"4476","-2","-2","-2"
"4479","2","2","2"
"4495","8","8","8"
"4496","-3","-3","-3"
"4503","3","3","3"
"4506","1","1","1"
"4513","-1","-1","-1"
"4517","0","0","0"
"4521","1","1","1"
"4527","3","3","3"
"4530","7","7","7"
"4533","-1","-1","-1"
"4537","-3","-3","-3"
"4547","-1","-1","-1"
"4548","-2","-2","-2"
"4558","0","0","0"
"4566","2","2","2"
"4572","-1","-1","-1"
"4575","1","1","1"
"4582","2","2","2"
"4583","5","5","5"
"4587","1","1","1"
"4592","-2","-2","-2"
"4597","-1","-1","-1"
"4608","-3","-3","-3"
"4611","-3","-3","-3"
"4615","-1","-1","-1"
"4617","-1","-1","-1"
"4625","5","5","5"
"4626","-2","-2","-2"
"4646","4","4","4"
"4653","-2","-2","-2"
"4670","-3","-3","-3"
"4688","0","0","0"
"4689","2","2","2"
"4691","2","2","2"
"4703","5","5","5"
"4708","2","2","2"
"4714","-1","-1","-1"
"4717","-3","-3","-3"
"4721","2","2","2"
"4730","-1","-1","-1"
"4731","2","2","2"
"4739","-2","-2","-2"
"4743","7","7","7"
"4747","0","0","0"
"4753","-3","-3","-3"
"4754","-2","-2","-2"
"4758","0","0","0"
"4759","0","0","0"
"4762","2","2","2"
"4770","1","1","1"
"4772","-2","-2","-2"
"4782","-1","-1","-1"
"4793","-3","-3","-3"
"4795","-1","-1","-1"
"4796","1","1","1"
"4800","-2","-2","-2"
"4802","0","0","0"
"4809","1","1","1"
"4814","1","1","1"
"4828","-3","-3","-3"
"4842","-1","-1","-1"
"4846","3","3","3"
"4852","-3","-3","-3"
"4854","-2","-2","-2"
"4855","-1","-1","-1"
"4862","0","0","0"
"4872","-2","-2","-2"
"4875","-2","-2","-2"
"4877","1","1","1"
"4885","-3","-3","-3"
"4892","4","4","4"
"4895","-1","-1","-1"
"4899","1","1","1"
"4902","1","1","1"
"4904","-3","-3","-3"
